Entity,Code,Day,Temperature anomaly
Brazil,BRA,1969-06-15,-0.13136673
Brazil,BRA,1969-07-15,-0.53320503
Brazil,BRA,1969-08-15,-0.28833008
Brazil,BRA,1969-09-15,0.124341965
Brazil,BRA,1969-10-15,-0.62051773
Brazil,BRA,1969-11-15,0.12934113
Brazil,BRA,1969-12-15,-0.739357
Brazil,BRA,1970-01-15,-0.49030304
Brazil,BRA,1970-02-15,-0.4739437
Brazil,BRA,1970-03-15,-0.4101944
Brazil,BRA,1970-04-15,-0.4642105
Brazil,BRA,1970-05-15,-0.21277809
Brazil,BRA,1970-06-15,-0.15661812
Brazil,BRA,1970-07-15,-0.54748535
Brazil,BRA,1970-08-15,-0.6439018
Brazil,BRA,1970-09-15,-0.8918781
Brazil,BRA,1970-10-15,-0.71235275
Brazil,BRA,1970-11-15,-1.1142731
Brazil,BRA,1970-12-15,-0.29952812
Brazil,BRA,1971-01-15,-0.4664917
Brazil,BRA,1971-02-15,-0.76685333
Brazil,BRA,1971-03-15,-0.6982269
Brazil,BRA,1971-04-15,-1.2046299
Brazil,BRA,1971-05-15,-1.2185402
Brazil,BRA,1971-06-15,-1.2669182
Brazil,BRA,1971-07-15,-0.8164654
Brazil,BRA,1971-08-15,-1.1967106
Brazil,BRA,1971-09-15,-1.1435776
Brazil,BRA,1971-10-15,-1.8193226
Brazil,BRA,1971-11-15,-1.2480526
Brazil,BRA,1971-12-15,-0.7012272
Brazil,BRA,1972-01-15,-0.8139229
Brazil,BRA,1972-02-15,-0.9276104
Brazil,BRA,1972-03-15,-0.60100365
Brazil,BRA,1972-04-15,-1.2448215
Brazil,BRA,1972-05-15,-0.24538422
Brazil,BRA,1972-06-15,-0.087911606
Brazil,BRA,1972-07-15,-0.21312332
Brazil,BRA,1972-08-15,-0.74643326
Brazil,BRA,1972-09-15,-0.5092335
Brazil,BRA,1972-10-15,-0.4107685
Brazil,BRA,1972-11-15,-0.18872261
Brazil,BRA,1972-12-15,-0.5664959
Brazil,BRA,1973-01-15,0.20757294
Brazil,BRA,1973-02-15,0.23584938
Brazil,BRA,1973-03-15,-0.021255493
Brazil,BRA,1973-04-15,-0.04996872
Brazil,BRA,1973-05-15,-0.52648354
Brazil,BRA,1973-06-15,0.018520355
Brazil,BRA,1973-07-15,-0.5816059
Brazil,BRA,1973-08-15,-0.81645393
Brazil,BRA,1973-09-15,-1.1107063
Brazil,BRA,1973-10-15,-1.2593365
Brazil,BRA,1973-11-15,-0.84568214
Brazil,BRA,1973-12-15,-1.0000992
Brazil,BRA,1974-01-15,-0.9903164
Brazil,BRA,1974-02-15,-0.9397354
Brazil,BRA,1974-03-15,-1.196516
Brazil,BRA,1974-04-15,-1.1678677
Brazil,BRA,1974-05-15,-1.0921459
Brazil,BRA,1974-06-15,-1.1271687
Brazil,BRA,1974-07-15,-1.1840706
Brazil,BRA,1974-08-15,-1.1290379
Brazil,BRA,1974-09-15,-1.3027763
Brazil,BRA,1974-10-15,-1.4693699
Brazil,BRA,1974-11-15,-0.97356224
Brazil,BRA,1974-12-15,-1.3779488
Brazil,BRA,1975-01-15,-0.9210243
Brazil,BRA,1975-02-15,-0.74341774
Brazil,BRA,1975-03-15,-0.57300186
Brazil,BRA,1975-04-15,-1.0220222
Brazil,BRA,1975-05-15,-1.1319103
Brazil,BRA,1975-06-15,-0.8095474
Brazil,BRA,1975-07-15,-1.8860149
Brazil,BRA,1975-08-15,-0.78855705
Brazil,BRA,1975-09-15,-0.97860146
Brazil,BRA,1975-10-15,-1.2121029
Brazil,BRA,1975-11-15,-0.97590446
Brazil,BRA,1975-12-15,-1.0394001
Brazil,BRA,1976-01-15,-0.85834503
Brazil,BRA,1976-02-15,-1.2026081
Brazil,BRA,1976-03-15,-1.0627651
Brazil,BRA,1976-04-15,-0.9567375
Brazil,BRA,1976-05-15,-0.74720573
Brazil,BRA,1976-06-15,-1.0045109
Brazil,BRA,1976-07-15,-0.75993156
Brazil,BRA,1976-08-15,-0.64530563
Brazil,BRA,1976-09-15,-1.3120995
Brazil,BRA,1976-10-15,-1.4142971
Brazil,BRA,1976-11-15,-0.9833088
Brazil,BRA,1976-12-15,-0.663744
Brazil,BRA,1977-01-15,-0.66513443
Brazil,BRA,1977-02-15,-0.63578224
Brazil,BRA,1977-03-15,-0.20513535
Brazil,BRA,1977-04-15,-0.86364365
Brazil,BRA,1977-05-15,-1.1141357
Brazil,BRA,1977-06-15,-0.81944084
Brazil,BRA,1977-07-15,-0.029327393
Brazil,BRA,1977-08-15,-0.37047577
Brazil,BRA,1977-09-15,-0.83636093
Brazil,BRA,1977-10-15,-1.0044308
Brazil,BRA,1977-11-15,-0.4030552
Brazil,BRA,1977-12-15,-0.81020546
Brazil,BRA,1978-01-15,-0.52491
Brazil,BRA,1978-02-15,-0.2649765
Brazil,BRA,1978-03-15,-0.53305435
Brazil,BRA,1978-04-15,-0.8392372
Brazil,BRA,1978-05-15,-0.965786
Brazil,BRA,1978-06-15,-1.0925694
Brazil,BRA,1978-07-15,-0.36829567
Brazil,BRA,1978-08-15,-1.4333916
Brazil,BRA,1978-09-15,-1.2796116
Brazil,BRA,1978-10-15,-0.85907936
Brazil,BRA,1978-11-15,-0.5730381
Brazil,BRA,1978-12-15,-0.9913025
Brazil,BRA,1979-01-15,-0.78499794
Brazil,BRA,1979-02-15,-0.55371094
Brazil,BRA,1979-03-15,-0.6469517
Brazil,BRA,1979-04-15,-0.81191254
Brazil,BRA,1979-05-15,-0.5496712
Brazil,BRA,1979-06-15,-1.2658901
Brazil,BRA,1979-07-15,-0.6843891
Brazil,BRA,1979-08-15,-0.4954567
Brazil,BRA,1979-09-15,-1.4880524
Brazil,BRA,1979-10-15,-0.60406303
Brazil,BRA,1979-11-15,-0.7541771
Brazil,BRA,1979-12-15,-0.53661346
Brazil,BRA,1980-01-15,-0.7583523
Brazil,BRA,1980-02-15,-0.58128357
Brazil,BRA,1980-03-15,-0.1816349
Brazil,BRA,1980-04-15,-0.15351295
Brazil,BRA,1980-05-15,0.11654663
Brazil,BRA,1980-06-15,-0.34518433
Brazil,BRA,1980-07-15,-0.28868103
Brazil,BRA,1980-08-15,-0.4518795
Brazil,BRA,1980-09-15,-1.2363701
Brazil,BRA,1980-10-15,-0.6426792
Brazil,BRA,1980-11-15,-0.9052334
Brazil,BRA,1980-12-15,-0.60248756
Brazil,BRA,1981-01-15,-0.5758667
Brazil,BRA,1981-02-15,-0.23924255
Brazil,BRA,1981-03-15,-0.20261765
Brazil,BRA,1981-04-15,-0.5029526
Brazil,BRA,1981-05-15,-0.07157898
Brazil,BRA,1981-06-15,-0.8831558
Brazil,BRA,1981-07-15,-1.4522152
Brazil,BRA,1981-08-15,-0.6388588
Brazil,BRA,1981-09-15,-0.8708763
Brazil,BRA,1981-10-15,-1.1267853
Brazil,BRA,1981-11-15,-0.49694252
Brazil,BRA,1981-12-15,-0.45232964
Brazil,BRA,1982-01-15,-0.90693474
Brazil,BRA,1982-02-15,-0.49339867
Brazil,BRA,1982-03-15,-0.45490456
Brazil,BRA,1982-04-15,-0.8096676
Brazil,BRA,1982-05-15,-0.6384945
Brazil,BRA,1982-06-15,-0.029964447
Brazil,BRA,1982-07-15,-0.008155823
Brazil,BRA,1982-08-15,-0.46247292
Brazil,BRA,1982-09-15,-0.9553585
Brazil,BRA,1982-10-15,-0.81378746
Brazil,BRA,1982-11-15,-0.03936386
Brazil,BRA,1982-12-15,-0.44368744
Brazil,BRA,1983-01-15,0.25397873
Brazil,BRA,1983-02-15,0.23965263
Brazil,BRA,1983-03-15,0.03178978
Brazil,BRA,1983-04-15,0.17495537
Brazil,BRA,1983-05-15,0.79873276
Brazil,BRA,1983-06-15,-0.2627697
Brazil,BRA,1983-07-15,0.26239586
Brazil,BRA,1983-08-15,-0.6243534
Brazil,BRA,1983-09-15,-0.80178833
Brazil,BRA,1983-10-15,-1.1981964
Brazil,BRA,1983-11-15,-0.6629963
Brazil,BRA,1983-12-15,-0.8345642
Brazil,BRA,1984-01-15,-0.45244598
Brazil,BRA,1984-02-15,-0.16871643
Brazil,BRA,1984-03-15,-0.3202381
Brazil,BRA,1984-04-15,-0.9885578
Brazil,BRA,1984-05-15,-0.16354561
Brazil,BRA,1984-06-15,-0.4282341
Brazil,BRA,1984-07-15,-0.30537033
Brazil,BRA,1984-08-15,-1.1247921
Brazil,BRA,1984-09-15,-1.5800667
Brazil,BRA,1984-10-15,-0.69978905
Brazil,BRA,1984-11-15,-0.501606
Brazil,BRA,1984-12-15,-0.63123703
Brazil,BRA,1985-01-15,-0.98942184
Brazil,BRA,1985-02-15,-0.54613686
Brazil,BRA,1985-03-15,-0.3483982
Brazil,BRA,1985-04-15,-0.6315956
Brazil,BRA,1985-05-15,-0.53287697
Brazil,BRA,1985-06-15,-1.3806057
Brazil,BRA,1985-07-15,-1.1211014
Brazil,BRA,1985-08-15,-0.94036484
Brazil,BRA,1985-09-15,-0.96650505
Brazil,BRA,1985-10-15,-0.9586563
Brazil,BRA,1985-11-15,-0.6434536
Brazil,BRA,1985-12-15,-1.0718975
